pb_acc,len,orf_strand,orf_frame,orf_start,orf_end,orf_len,fickett,hexamer,coding_score,orf_rank,cds_start,gencode_atg,upstream_atgs,orf_calling_confidence,atg_rank,score_rank,atg_score,gencode_score,orf_score,gene,FL,CPM
PB.1091.1,3245,+,1,2845,3015,171,1.0792,0.39639272340559795,0.508075939383234,2,156310623,,46,None,16.0,1.0,0.021739130434782608,0.0,0.5187699407009898,CCT3,2,0.6694204392134444
PB.1091.10,2116,+,1,700,1887,1188,1.2034,0.42463957988609097,0.9999942813239828,1,156320997,,21,None,6.0,1.0,0.047619047619047616,0.0,0.9999945536418884,CCT3,2,0.6694204392134444
PB.1091.11,2147,+,2,416,1918,1503,1.2096,0.425752119320354,0.9999998358283679,1,156334876,['ENST00000472765.6'],7,None,4.0,1.0,0.14285714285714285,0.8,0.9999999718562916,CCT3,3,1.0041306588201666
PB.1091.12,1991,+,2,260,1762,1503,1.2096,0.425752119320354,0.9999998372266508,1,156334876,['ENST00000472765.6'],6,None,4.0,1.0,0.16666666666666666,0.8,0.9999999728711084,CCT3,19,6.359494172527722
PB.1091.13,2017,+,1,82,1788,1707,1.2088,0.40273318493302296,0.9999999808191361,1,156338184,"['ENST00000295688.8', 'ENST00000368259.6', 'ENST00000368258.7', 'ENST00000368262.7', 'ENST00000496684.6', 'ENST00000478640.6', 'ENST00000415548.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999999999616382,CCT3,24,8.033045270561333
PB.1091.14,1883,+,2,80,1654,1575,1.2322,0.41513843110844,0.9999999286630021,1,156338184,"['ENST00000295688.8', 'ENST00000368259.6', 'ENST00000368258.7', 'ENST00000368262.7', 'ENST00000496684.6', 'ENST00000478640.6', 'ENST00000415548.1']",0,Clear Best ORF,1.0,1.0,0.99,0.8,0.999999999857326,CCT3,4,1.3388408784268888
PB.1091.15,1745,+,2,14,1516,1503,1.2096,0.425752119320354,0.999999839407477,1,156334876,['ENST00000472765.6'],0,Clear Best ORF,1.0,1.0,0.99,0.8,0.9999999996788148,CCT3,11,3.681812415673944
PB.1091.16,1683,+,3,69,1454,1386,1.2034,0.41578090674368895,0.9999993568839781,1,156333267,,2,Clear Best ORF,1.0,1.0,0.5,0.0,0.999999678441989,CCT3,2,0.6694204392134444
PB.1091.17,1603,+,1,49,1374,1326,1.2034,0.432276918772211,0.999998866455503,1,156325081,,1,Clear Best ORF,1.0,1.0,0.99,0.0,0.9999999886645552,CCT3,17,5.690073733314278
PB.1091.18,1507,+,1,37,1278,1242,1.2034,0.4219036584038201,0.999996926527578,1,156324997,,1,Clear Best ORF,1.0,1.0,0.99,0.0,0.9999999692652758,CCT3,28,9.37188614898822
PB.1091.19,1422,+,3,6,1193,1188,1.2034,0.42463957988609097,0.999994494846686,1,156320997,,0,Clear Best ORF,1.0,1.0,0.99,0.0,0.9999999449484668,CCT3,32,10.71072702741511
PB.1091.2,2847,+,2,1115,2617,1503,1.2096,0.425752119320354,0.999999829404663,1,156334876,['ENST00000472765.6'],21,None,7.0,1.0,0.047619047619047616,0.8,0.99999996750565,CCT3,4,1.3388408784268888
